procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   5164  93632 120012 973344    0    0     8     4  519  414  3  5 92  0  0
 0  0   5164  93632 120012 973344    0    0     8     4  238  343  1  2 97  0  0
 0  0   5164  93632 120012 973344    0    0     8     4  158  329  2  1 97  0  0
 0  0   5164  93632 120012 973344    0    0     8     4  490  401  3  6 91  0  0
 0  0   5164  87868 120020 973260    0    0     8    56  322  735  4  3 93  0  0
 0  0   5164  87868 120020 973260    0    0     8     4  396  391  3  3 94  0  0
 0  0   5164  87868 120036 973260    0    0     8   128  291  392  2  2 96  0  0
 0  0   5164  87868 120036 973260    0    0     8     4  775  459  3  8 89  0  0
 0  0   5164  93524 120036 973268    0    0     8     4  171  383  2  1 97  0  0
 0  0   5164  93524 120036 973268    0    0     8     4  663  407  3  4 93  0  0
 1  0   5164  93524 120036 973268    0    0     8   356  362  355  2  2 96  0  0
 0  0   5164  93524 120044 973268    0    0     8    84  180  351  2  1 97  0  0
 0  0   5164  93524 120044 973272    0    0     8     4  480  364  2  4 94  0  0
 1  0   5164  93524 120044 973272    0    0     8     4  318  360  3  3 94  0  0
 0  0   5164  93524 120044 973272    0    0     8     4  378  358  2  2 96  0  0
 0  0   5164  93524 120044 973272    0    0     8    20  374  389  1  3 96  0  0
 0  0   5164  93524 120052 973268    0    0     8    64  387  368  3  3 94  0  0
 1  0   5164  93524 120052 973276    0    0     8     4  164  325  2  0 98  0  0
 0  0   5164  93524 120052 973280    0    0     8     4  468  385  2  5 93  0  0
 0  0   5164  93524 120052 973280    0    0     8     4  383  349  2  2 96  0  0
 0  0   5164  93524 120052 973284    0    0     8     4  175  351  2  1 97  0  0
 0  0   5164  93524 120060 973284    0    0     8    56  474  423  3  4 92  1  0
 0  0   5164  93524 120060 973284    0    0     8     4  646  393  2  5 93  0  0
 0  0   5164  93524 120060 973284    0    0     8     4  229  345  2  1 97  0  0
 0  0   5164  93524 120060 973288    0    0     8     4  187  338  2  1 97  0  0
 1  0   5164  93524 120060 973288    0    0     8   448  199  381  3  1 96  0  0
 0  0   5164  93524 120068 973280    0    0     8    60  234  363  2  2 96  0  0
 0  0   5164  93524 120068 973296    0    0     8     4  439  379  3  3 94  0  0
 0  0   5164  93524 120068 973296    0    0     8     4  162  333  2  1 97  0  0
 1  0   5164  93524 120068 973296    0    0     8     4  248  382  3  2 95  0  0
 0  0   5164  93524 120068 973296    0    0     8     4  203  384  2  1 97  0  0
 0  0   5164  93272 120076 973300    0    0     8   100  178  365  2  1 97  0  0
 0  0   5164  93272 120076 973300    0    0     8     4  142  327  2  0 98  0  0
 0  0   5164  93272 120076 973300    0    0     8     4  496  410  2  4 94  0  0
 0  0   5164  93272 120076 973304    0    0     8     8  175  359  2  1 97  0  0
 1  0   5164  93272 120076 973304    0    0     8     4  156  356  3  0 97  0  0
 0  0   5164  93272 120084 973296    0    0    12    60  306  381  2  3 95  0  0
 0  0   5164  93272 120084 973308    0    0    12     4  392  391  4  5 91  0  0
 0  0   5164  93272 120084 973308    0    0    12     4  399  367  1  3 96  0  0
 0  0   5164  93272 120084 973312    0    0    12     4  372  421  3  3 94  0  0
 0  0   5164  93272 120084 973312    0    0    12     4  183  350  1  2 97  0  0
 0  0   5164  93272 120092 973312    0    0    12   448  462  400  2  4 94  0  0
 0  0   5164  93272 120092 973312    0    0    12     4  174  345  2  2 96  0  0
 0  0   5164  93272 120092 973316    0    0    12     4  248  370  3  1 96  0  0
 0  0   5164  93272 120092 973316    0    0    12     4  407  383  3  2 95  0  0
 0  0   5164  93272 120092 973320    0    0    12     4  243  360  2  3 95  0  0
 0  0   5164  93272 120100 973312    0    0    12    56  161  332  2  1 97  0  0
 0  0   5164  93272 120100 973324    0    0    16     4  122  320  2  0 98  0  0
 0  0   5164  93272 120100 973328    0    0    12     4  506  386  2  4 94  0  0
 0  0   5164  93272 120100 973328    0    0    12     4  205  366  2  2 96  0  0
 0  0   5164  93272 120100 973328    0    0    12     4  234  370  2  1 97  0  0
 0  0   5164  93272 120108 973332    0    0    12    84  453  397  3  3 94  0  0
 0  0   5164  93272 120108 973332    0    0    12     4  329  396  3  5 92  0  0
 0  0   5164  93272 120108 973332    0    0    12     4  159  342  2  0 98  0  0
 0  0   5164  93272 120108 973332    0    0    12     4  776  412  2  8 90  0  0
 0  0   5164  93272 120108 973336    0    0    12     4  224  369  2  2 96  0  0
 1  0   5164  93272 120116 973328    0    0    12    56  367  349  3  3 94  0  0
 1  0   5164  93272 120116 973340    0    0    12     4  277  358  2  1 97  0  0
 0  0   5164  92768 120116 973340    0    0    12     4  468  361  2  4 94  0  0
 0  0   5164  92768 120116 973344    0    0    12     4  252  389  2  0 98  0  0
 0  0   5164  92768 120116 973344    0    0    12     4  483  398  3  4 93  0  0
 0  0   5164  92768 120124 973344    0    0    12    72  275  411  4  1 95  0  0
 0  0   5164  92768 120124 973344    0    0    12     4  142  334  2  0 98  0  0
 0  0   5164  92768 120124 973348    0    0    12     4  447  369  3  3 94  0  0
 0  0   5164  92768 120124 973348    0    0    12     4  219  332  3  1 96  0  0
 1  0   5164  92768 120124 973348    0    0    12     4  414  382  3  3 94  0  0
 0  0   5164  92768 120140 973384    0    0    12   120  308  410  2  4 93  1  0
 0  0   5164  92768 120140 973356    0    0    12     4  853  529  3 10 86  0  0
 0  0   5164  92768 120140 973356    0    0    12     4  189  407  4  1 95  0  0
 0  0   5164  92768 120140 973356    0    0    12     4  626  429  2  7 91  0  0
 2  0   5164  92768 120140 973356    0    0    12     4  358  352  2  3 95  0  0
 3  0   5164  92768 120148 973360    0    0     0   424  194  273  2  0 98  0  0
 0  0   5164  92768 120148 973360    0    0    12     4  462  373  2  4 94  0  0
 0  0   5164  92768 120148 973360    0    0     0     0  514  848  8  5 87  0  0
 0  0   5164  92516 120148 973360    0    0    12     4  421  489  3  5 92  0  0
 0  0   5164  92516 120148 973364    0    0     0     0  425  295  4  4 92  0  0
 0  0   5164  92516 120148 973364    0    0    12     4  352  366  1  3 96  0  0
 0  0   5164  92516 120156 973364    0    0    12    64  151  360  4  0 96  0  0
 0  0   5164  92516 120156 973364    0    0    12     4  517  591  8  6 86  0  0
 0  0   5164  92516 120156 973372    0    0    16     4  407  462  4  2 94  0  0
 0  0   5164  92516 120156 973372    0    0    12     4  181  366  2  1 97  0  0
 0  0   5164  92516 120156 973372    0    0    12     4  472  405  3  5 92  0  0
 0  0   5164  92516 120164 973372    0    0    12    72  685  403  2  7 91  0  0
 0  0   5164  92516 120164 973376    0    0    12     4  232  354  3  3 94  0  0
 0  0   5164  92516 120164 973376    0    0    12     4  223  358  3  1 96  0  0
 0  0   5164  92516 120168 973380    0    0    12     8  190  381  3  0 97  0  0
 0  0   5164  92516 120168 973376    0    0    12     4  263  364  3  2 95  0  0
 0  0   5164  92264 120176 973384    0    0    16    80  474  406  2  6 92  0  0
 0  0   5164  92264 120176 973384    0    0    16     4  141  343  3  1 96  0  0
 0  0   5164  92012 120176 973384    0    0    16     4  222  396  1  1 98  0  0
 0  0   5164  92012 120176 973384    0    0    16     4  234  380  3  3 94  0  0
 0  0   5164  92012 120176 973388    0    0    16     4  135  329  2  2 96  0  0
 0  0   5164  92012 120184 973388    0    0    16   104  147  340  3  1 96  0  0
 0  0   5164  92012 120184 973388    0    0    16     4  477  400  2  4 94  0  0
 1  0   5164  92012 120184 973388    0    0    16     4  185  341  3  0 97  0  0
 0  0   5164  92012 120184 973392    0    0    16     4  171  367  2  2 96  0  0
 0  0   5164  92012 120184 973392    0    0    16     4  263  384  3  2 95  0  0
 0  0   5164  92012 120192 973392    0    0    16    88  412  408  2  4 94  0  0
 0  0   5164  92012 120192 973396    0    0    16     4  354  354  3  3 94  0  0
 0  0   5164  92012 120192 973400    0    0    16     4  367  386  2  5 93  0  0
 0  0   5164  91760 120192 973400    0    0    16     4  204  377  4  1 95  0  0
 0  0   5164  91760 120192 973400    0    0    16     4  436  398  3  3 94  0  0
 0  0   5164  91760 120200 973400    0    0    16   548  206  359  1  1 98  0  0
 0  0   5164  91760 120200 973404    0    0    16     4  247  366  4  2 94  0  0
 0  0   5164  91760 120200 973404    0    0    16     4  402  386  0  2 98  0  0
 0  0   5164  91760 120200 973404    0    0    16     4  271  391  4  3 93  0  0
 0  0   5164  91760 120200 973404    0    0    16     4  150  335  1  1 98  0  0
 0  0   5164  91760 120208 973408    0    0    16    64  134  344  1  1 98  0  0
 0  0   5164  91760 120208 973412    0    0    16     4  502  384  2  6 92  0  0
 0  0   5164  91760 120208 973412    0    0    16     4  189  354  3  0 97  0  0
 0  0   5164  91760 120208 973416    0    0    16     4  201  352  2  1 97  0  0
 0  0   5164  91760 120208 973420    0    0    16     4  398  396  3  2 95  0  0
 0  0   5164  91760 120216 973420    0    0    16    72  355  379  2  3 95  0  0
 0  0   5164  91760 120216 973420    0    0    16     4  145  332  2  0 98  0  0
 0  0   5164  91760 120216 973424    0    0    16     4  760  423  3  6 91  0  0
 0  0   5164  91256 120216 973424    0    0    16     4  226  360  4  1 95  0  0
 0  0   5164  91256 120216 973424    0    0    16     4  379  359  3  4 93  0  0
 0  0   5164  91256 120224 973424    0    0    16    64  281  364  3  2 95  0  0
 0  0   5164  91256 120224 973432    0    0    16     4  440  366  2  4 94  0  0
 0  0   5164  91256 120224 973432    0    0    16     4  252  384  2  1 97  0  0
 1  0   5164  91256 120224 973432    0    0    16     4  477  383  3  7 90  0  0
 0  0   5164  91256 120224 973432    0    0    16     4  247  393  4  2 94  0  0
 0  0   5164  91256 120232 973436    0    0    16    56  135  352  2  0 97  1  0
 0  0   5164  91256 120232 973436    0    0    16     4  496  393  2  6 92  0  0
 0  0   5164  91256 120232 973436    0    0    16     4  230  359  3  1 96  0  0
 0  0   5164  91256 120232 973436    0    0    16     4  361  388  2  3 95  0  0
 0  0   5164  91256 120232 973440    0    0    16     4  287  360  3  3 94  0  0
 0  0   5164  91004 120256 973480    0    0    16   148  784  505  4 10 86  0  0
 0  0   5164  91004 120256 973448    0    0    16    20  146  332  1  1 98  0  0
 0  0   5164  90752 120256 973448    0    0    16     4  605  444  3  6 91  0  0
 0  0   5164  90752 120256 973452    0    0    16     4  343  357  3  3 94  0  0
 0  0   5164  90752 120256 973452    0    0    16     4  184  380  4  0 96  0  0
 0  0   5164  90752 120264 973452    0    0    16    76  593  573  4  9 87  0  0
 0  0   5164  90752 120264 973452    0    0    16   440  516  647  6  4 90  0  0
 0  0   5164  90752 120264 973456    0    0    16     4  361  382  3  9 88  0  0
 0  0   5164  90752 120264 973460    0    0    16     8  418  402  3  4 93  0  0
 1  0   5164  90752 120264 973456    0    0    16     4  436  534  6  4 90  0  0
 0  0   5164  90752 120272 973448    0    0    20    72  164  488  5  1 94  0  0
 0  0   5164  90752 120272 973464    0    0    20     4  460  416  3  6 91  0  0
 0  0   5164  90752 120272 973464    0    0    20     4  370  366  3  2 95  0  0
 0  0   5164  90500 120272 973464    0    0    20     4  172  351  3  1 96  0  0
 0  0   5164  90248 120272 973464    0    0    20     4  494  417  3  6 91  0  0
